parm,estimate,stderr,dof,t,p,min95,max95,male,univ,year
"0.male#0.nouni#0.year3",.06464085,.00276456,1246,23.381951,1.52e-100,.05921714,.07006456,0,0,0
"0.male#0.nouni#1.year3",.06235963,.0028182,1246,22.127439,9.015e-92,.05683069,.06788858,0,0,1
"0.male#0.nouni#2.year3",.06209257,.00309437,1246,20.066301,7.848e-78,.05602182,.06816332,0,0,2
"0.male#0.nouni#3.year3",.06108872,.0026782,1246,22.809638,1.616e-96,.05583445,.066343,0,0,3
"0.male#0.nouni#4.year3",.06290687,.00290782,1246,21.633665,2.247e-88,.0572021,.06861164,0,0,4
"0.male#0.nouni#5.year3",.06713069,.00266564,1246,25.183745,1.84e-113,.06190106,.07236032,0,0,5
"0.male#1.nouni#0.year3",.07135732,.00189558,1246,37.644116,9.64e-208,.06763845,.0750762,0,1,0
"0.male#1.nouni#1.year3",.06677426,.00198305,1246,33.672545,2.71e-177,.06288378,.07066474,0,1,1
"0.male#1.nouni#2.year3",.06757073,.00242261,1246,27.891723,2.03e-133,.06281789,.07232357,0,1,2
"0.male#1.nouni#3.year3",.0775391,.00221642,1246,34.984014,2.38e-187,.07319078,.08188742,0,1,3
"0.male#1.nouni#4.year3",.06696006,.00202678,1246,33.037607,1.98e-172,.06298378,.07093634,0,1,4
"0.male#1.nouni#5.year3",.07225028,.00233664,1246,30.920556,2.87e-156,.06766609,.07683447,0,1,5
"1.male#0.nouni#0.year3",.02800189,.00204719,1246,13.678217,8.762e-40,.02398557,.03201821,1,0,0
"1.male#0.nouni#1.year3",.02302576,.00207193,1246,11.113178,2.005e-27,.01896089,.02709062,1,0,1
"1.male#0.nouni#2.year3",.02317737,.00204828,1246,11.315542,2.511e-28,.01915891,.02719582,1,0,2
"1.male#0.nouni#3.year3",.02531096,.00204426,1246,12.381457,2.733e-33,.02130038,.02932154,1,0,3
"1.male#0.nouni#4.year3",.02597161,.00184353,1246,14.087992,6.194e-42,.02235485,.02958837,1,0,4
"1.male#0.nouni#5.year3",.02715885,.00200965,1246,13.514216,6.171e-39,.02321618,.03110153,1,0,5
"1.male#1.nouni#0.year3",.03412865,.00157633,1246,21.650667,1.719e-88,.0310361,.03722121,1,1,0
"1.male#1.nouni#1.year3",.0342841,.00166509,1246,20.589966,2.599e-81,.03101742,.03755079,1,1,1
"1.male#1.nouni#2.year3",.03501377,.0021284,1246,16.450715,3.525e-55,.03083812,.03918942,1,1,2
"1.male#1.nouni#3.year3",.04101295,.00176277,1246,23.266176,9.98e-100,.03755462,.04447128,1,1,3
"1.male#1.nouni#4.year3",.03264541,.00169587,1246,19.249993,1.688e-72,.02931834,.03597248,1,1,4
"1.male#1.nouni#5.year3",.03659562,.00175453,1246,20.857787,4.150e-83,.03315346,.04003778,1,1,5
